from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246071024607203+1158208+1,246071024607203+1158210+1,1,
20,20,,,246073124607622+1158208+1,246073124607622+1158210+1,1,
20,20,,,246073124607624+1158208+1,246073124607624+1158210+1,1,
20,20,,,246071024607202+1158208+1,246071024607202+1158210+1,1,
20,20,,,246073124607621+1158208+1,246073124607621+1158210+1,1,
20,20,,,246073124607623+1158208+1,246073124607623+1158210+1,1,
20,20,,,246071424607635+1158209+1,246071424607635+1158211+1,1,
20,20,,,246071024607201+1158208+1,246071024607201+1158210+1,1,
20,20,,,246072524607272+1158208+1,246072524607272+1158210+1,1,
20,20,,,246072524607274+1158208+1,246072524607274+1158210+1,1,
20,20,,,246072524607273+1158208+1,246072524607273+1158210+1,1,
20,20,,,246071024607204+1158208+1,246071024607204+1158210+1,1,
20,20,,,246073124607621+1158220+1,246073124607621+1159543+1,1,
20,20,,,246071024607203+1158220+1,246071024607203+1159543+1,1,
20,20,,,246073124607623+1158220+1,246073124607623+1159543+1,1,
20,20,,,246071024607204+1158220+1,246071024607204+1159543+1,1,
20,20,,,246072524607272+1158220+1,246072524607272+1159543+1,1,
20,20,,,246072524607273+1158220+1,246072524607273+1159543+1,1,
20,20,,,246071024607202+1158220+1,246071024607202+1159543+1,1,
20,20,,,246073124607624+1158220+1,246073124607624+1159543+1,1,
20,20,,,246072524607274+1158220+1,246072524607274+1159543+1,1,
20,20,,,246071424607635+1158221+1,246071424607635+1158236+1,1,
20,20,,,246071024607201+1158220+1,246071024607201+1159543+1,1,
20,20,,,246073124607622+1158220+1,246073124607622+1159543+1,1,
33,33,,,246071524607226+1164327+0,246071524607646+1159727+0,1,
33,33,,,246074324607436+1164359+0,246074324607436+1163914+0,1,
33,33,,,246075024607576+1164361+0,246075024607576+1163915+0,1,
33,33,,,246075124607587+1164362+0,246073024607587+1163909+0,1,
33,33,,,246073624607366+1164383+0,246071524607646+1159749+0,1,
33,33,,,246071524607226+1164404+0,246071524607226+1163950+0,1,
33,33,,,246074324607436+1164412+0,246074324607436+1163956+0,1,
33,33,,,246075824607587+1164450+0,246073024607587+1159776+0,1,
33,33,,,246073624607366+1164481+0,246073624607366+1163987+0,1,
33,33,,,246074324607436+1164483+0,246074324607436+1163989+0,1,
33,33,,,246072324607237+1164505+0,246072324607237+1163717+0,1,
33,33,,,246073024607307+1164508+0,246073024607307+1163720+0,1,
33,33,,,246073724607377+1164510+0,246073724607377+1163716+0,1,
33,33,,,246075724607576+1164515+0,246075024607646+1163715+0,1,
33,33,,,246071524607226+1164531+0,246071524607226+1164021+0,1,
33,33,,,246071624607167+1164532+0,246071624607167+1164022+0,1,
33,33,,,246073624607366+1164537+0,246073624607366+1164027+0,1,
33,33,,,246071524607226+1164558+0,246071524607226+1164056+0,1,
33,33,,,246072424607241+1164561+0,246072424607241+1164059+0,1,
33,33,,,246073024607307+1164563+0,246073024607307+1164061+0,1,
33,33,,,246075124607517+1164569+0,246075124607587+1164057+0,1,
33,33,,,246075824607587+1164571+0,246075124607587+1164057+0,1,
33,33,,,246071524607226+1164590+0,246071524607226+1164091+0,1,
33,33,,,246075724607576+1164602+0,246075024607576+1164099+0,1,
33,33,,,246073724607377+1164645+0,246073724607377+1163732+0,1,
33,33,,,246074424607447+1164647+0,246074424607447+1163738+0,1,
33,33,,,246075024607506+1164687+0,246071524607646+1161420+0,1,
33,33,,,246075824607587+1164690+0,246073024607587+1161421+0,1,
33,33,,,246071524607226+1164705+0,246071524607226+1164143+0,1,
33,33,,,246072424607241+1164708+0,246072424607241+1164146+0,1,
33,33,,,246072924607296+1164709+0,246072924607296+1164147+0,1,
33,33,,,246075124607517+1164716+0,246075124607587+1164144+0,1,
33,33,,,246075824607587+1164718+0,246075124607587+1164144+0,1,
33,33,,,246076424607646+1164733+0,246076424607646+1164175+0,1,
33,33,,,246073024607307+1164738+0,246073024607587+1164176+0,1,
33,33,,,246071524607226+1164761+0,246071524607226+1164208+0,1,
33,33,,,246074324607436+1164769+0,246074324607436+1164216+0,1,
33,33,,,246072424607241+1164790+0,246072424607241+1164242+0,1,
33,33,,,246073024607307+1164792+0,246073024607307+1164244+0,1,
33,33,,,246073624607366+1164820+0,246073624607366+1164279+0,1,
33,33,,,246075824607587+1164827+0,246073024607587+1164275+0,1,
33,33,,,246073624607366+1164834+0,246071524607366+1162738+0,1,
33,33,,,246072424607241+1164852+0,246072524607252+1159611+0,1,
33,33,,,246071024607202+1159625+1,246071024607202+1159457+1,1,
33,33,,,246071024607203+1159625+1,246071024607203+1159457+1,1,
33,33,,,246072524607273+1159625+1,246072524607273+1159457+1,1,
33,33,,,246073124607622+1159625+1,246073124607622+1159457+1,1,
33,33,,,246071024607201+1159631+1,246071024607201+1159460+1,1,
33,33,,,246071024607201+1159635+1,246071024607201+1159468+1,1,
33,33,,,246072524607273+1159635+1,246072524607273+1159468+1,1,
33,33,,,246072524607274+1159635+1,246072524607274+1159468+1,1,
33,33,,,246073124607622+1159637+1,246073124607632+1159491+1,1,
33,33,,,246071024607203+1159649+1,246071024607203+1159498+1,1,
33,33,,,246073124607622+1159649+1,246073124607622+1159498+1,1,
33,33,,,246073124607621+1159657+1,246073124607621+1159502+1,1,
33,33,,,246073124607622+1159657+1,246073124607622+1159502+1,1,
33,33,,,246072524607273+1159660+1,246072524607273+1159504+1,1,
33,33,,,246073124607622+1159660+1,246073124607622+1159504+1,1,
33,33,,,246071024607203+1159664+1,246071024607203+1159512+1,1,
33,33,,,246072524607274+1159664+1,246072524607274+1159512+1,1,
33,33,,,246073124607622+1159664+1,246073124607622+1159512+1,1,
33,33,,,246072524607273+1159668+1,246072524607273+1159516+1,1,
