route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,246071024607131,246071024607131+1161199+1,Stamford,1382,0,,16,1,1
2,246071024607131,246071024607131+1161202+0,North White Plains,521,0,,14,1,0
2,246071024607131,246071024607131+1161205+1,Grand Central,534,1,,3,1,1
2,246071024607131,246071024607131+1161207+0,Grand Central,576,1,,3,1,0
2,246071024607131,246071024607131+1161210+0,Grand Central,596,1,,3,1,0
2,246071024607131,246071024607131+1161213+1,Brewster,657,0,,14,1,1
2,246071024607131,246071024607131+1161216+0,Grand Central,676,1,,3,1,0
1,246071024607131,246071024607131+1161219+1,Croton-Harmon,759,0,,12,1,1
1,246071024607131,246071024607131+1161221+0,Grand Central,796,1,,1,1,0
3,246071024607131,246071024607131+1161614+1,New Haven,3546,0,,16,1,1
3,246071024607132,246071024607132+1161199+1,Stamford,1382,0,,16,1,1
2,246071024607132,246071024607132+1161202+0,North White Plains,521,0,,14,1,0
2,246071024607132,246071024607132+1161205+1,Grand Central,534,1,,3,1,1
2,246071024607132,246071024607132+1161207+0,Grand Central,576,1,,3,1,0
2,246071024607132,246071024607132+1161210+0,Grand Central,596,1,,3,1,0
2,246071024607132,246071024607132+1161213+1,Brewster,657,0,,14,1,1
2,246071024607132,246071024607132+1161216+0,Grand Central,676,1,,3,1,0
1,246071024607132,246071024607132+1161219+1,Croton-Harmon,759,0,,12,1,1
1,246071024607132,246071024607132+1161221+0,Grand Central,796,1,,1,1,0
3,246071024607132,246071024607132+1161614+1,New Haven,3546,0,,16,1,1
3,246071024607133,246071024607133+1161199+1,Stamford,1382,0,,16,1,1
2,246071024607133,246071024607133+1161202+0,North White Plains,521,0,,14,1,0
2,246071024607133,246071024607133+1161205+1,Grand Central,534,1,,3,1,1
2,246071024607133,246071024607133+1161207+0,Grand Central,576,1,,3,1,0
2,246071024607133,246071024607133+1161210+0,Grand Central,596,1,,3,1,0
2,246071024607133,246071024607133+1161213+1,Brewster,657,0,,14,1,1
2,246071024607133,246071024607133+1161216+0,Grand Central,676,1,,3,1,0
1,246071024607133,246071024607133+1161219+1,Croton-Harmon,759,0,,12,1,1
1,246071024607133,246071024607133+1161221+0,Grand Central,796,1,,1,1,0
3,246071024607133,246071024607133+1161614+1,New Haven,3546,0,,16,1,1
3,246071024607134,246071024607134+1161199+1,Stamford,1382,0,,16,1,1
2,246071024607134,246071024607134+1161202+0,North White Plains,521,0,,14,1,0
2,246071024607134,246071024607134+1161205+1,Grand Central,534,1,,3,1,1
2,246071024607134,246071024607134+1161207+0,Grand Central,576,1,,3,1,0
2,246071024607134,246071024607134+1161210+0,Grand Central,596,1,,3,1,0
2,246071024607134,246071024607134+1161213+1,Brewster,657,0,,14,1,1
2,246071024607134,246071024607134+1161216+0,Grand Central,676,1,,3,1,0
1,246071024607134,246071024607134+1161219+1,Croton-Harmon,759,0,,12,1,1
1,246071024607134,246071024607134+1161221+0,Grand Central,796,1,,1,1,0
3,246071024607134,246071024607134+1161614+1,New Haven,3546,0,,16,1,1
3,246071024607171,246071024607171+1157308+0,Stamford,1300,0,,16,1,0
3,246071024607171,246071024607171+1157314+0,Stamford,1302,0,,16,1,0
3,246071024607171,246071024607171+1157320+0,Stamford,1304,0,,16,1,0
3,246071024607171,246071024607171+1157474+0,Grand Central,1399,1,,5,1,0
3,246071024607171,246071024607171+1157523+0,New Haven,1502,0,,16,1,0
3,246071024607171,246071024607171+1157678+0,New Haven,1598,0,,16,1,0
2,246071024607171,246071024607171+1158542+0,North White Plains,597,0,,14,1,0
2,246071024607171,246071024607171+1158546+0,North White Plains,599,0,,14,1,0
2,246071024607171,246071024607171+1159415+0,Southeast,695,0,,14,1,0
2,246071024607171,246071024607171+1159436+0,Southeast,699,0,,14,1,0
1,246071024607171,246071024607171+1159604+0,Croton-Harmon,797,0,,12,1,0
1,246071024607171,246071024607171+1159608+0,Grand Central,798,1,,1,1,0
1,246071024607171,246071024607171+1159612+0,Croton-Harmon,799,0,,12,1,0
2,246071024607171,246071024607171+1161224+0,Southeast,697,0,,14,1,0
3,246071024607201,246071024607201+1157266+1,Grand Central,1213,1,,5,1,1
3,246071024607201,246071024607201+1157268+1,Grand Central,1221,1,,5,1,1
3,246071024607201,246071024607201+1157270+1,Grand Central,1225,1,,5,1,1
3,246071024607201,246071024607201+1157272+1,Grand Central,1229,1,,5,1,1
3,246071024607201,246071024607201+1157274+1,Grand Central,1231,1,,5,1,1
3,246071024607201,246071024607201+1157278+1,Grand Central,1237,1,,5,1,1
3,246071024607201,246071024607201+1157280+0,Grand Central,1239,1,,5,1,0
3,246071024607201,246071024607201+1157282+0,Grand Central,1241,1,,5,1,0
3,246071024607201,246071024607201+1157284+1,Harrison,1244,0,,16,1,1
3,246071024607201,246071024607201+1157286+1,Harrison,1248,0,,16,1,1
3,246071024607201,246071024607201+1157288+1,Harrison,1254,0,,16,1,1
3,246071024607201,246071024607201+1157290+1,New Rochelle,1256,0,,16,1,1
3,246071024607201,246071024607201+1157292+1,Harrison,1260,0,,16,1,1
3,246071024607201,246071024607201+1157294+1,Harrison,1264,0,,16,1,1
3,246071024607201,246071024607201+1157296+1,New Rochelle,1268,0,,16,1,1
3,246071024607201,246071024607201+1157298+1,Harrison,1270,0,,16,1,1
3,246071024607201,246071024607201+1157300+1,Harrison,1274,0,,16,1,1
3,246071024607201,246071024607201+1157302+0,Grand Central,1275,1,,5,1,0
3,246071024607201,246071024607201+1157304+0,Grand Central,1279,1,,5,1,0
3,246071024607201,246071024607201+1157306+0,Grand Central,1299,1,,5,1,0
3,246071024607201,246071024607201+1157312+0,Grand Central,1301,1,,5,1,0
3,246071024607201,246071024607201+1157318+1,Grand Central,1303,1,,5,1,1
3,246071024607201,246071024607201+1157324+1,Grand Central,1305,1,,5,1,1
3,246071024607201,246071024607201+1157326+0,Greenwich,1306,0,,16,1,0
3,246071024607201,246071024607201+1157328+1,Grand Central,1307,1,,5,1,1
3,246071024607201,246071024607201+1157330+1,Greenwich,1308,0,,16,1,1
3,246071024607201,246071024607201+1157332+1,Grand Central,1309,1,,5,1,1
3,246071024607201,246071024607201+1157334+1,Greenwich,1310,0,,16,1,1
3,246071024607201,246071024607201+1157336+1,Grand Central,1311,1,,5,1,1
3,246071024607201,246071024607201+1157338+1,Stamford,1312,0,,16,1,1
3,246071024607201,246071024607201+1157340+1,Stamford,1314,0,,16,1,1
3,246071024607201,246071024607201+1157342+1,Grand Central,1315,1,,5,1,1
3,246071024607201,246071024607201+1157344+0,Stamford,1316,0,,16,1,0
3,246071024607201,246071024607201+1157346+1,Grand Central,1317,1,,5,1,1
3,246071024607201,246071024607201+1157348+0,Stamford,1318,0,,16,1,0
3,246071024607201,246071024607201+1157350+0,Stamford,1320,0,,16,1,0
3,246071024607201,246071024607201+1157352+1,Grand Central,1321,1,,5,1,1
3,246071024607201,246071024607201+1157354+0,Stamford,1322,0,,16,1,0
3,246071024607201,246071024607201+1157356+0,Stamford,1324,0,,16,1,0
3,246071024607201,246071024607201+1157358+1,Grand Central,1325,1,,5,1,1
3,246071024607201,246071024607201+1157360+0,Stamford,1326,0,,16,1,0
3,246071024607201,246071024607201+1157362+1,Grand Central,1327,1,,5,1,1
3,246071024607201,246071024607201+1157364+0,Stamford,1328,0,,16,1,0
3,246071024607201,246071024607201+1157366+0,Stamford,1330,0,,16,1,0
3,246071024607201,246071024607201+1157368+1,Grand Central,1331,1,,5,1,1
3,246071024607201,246071024607201+1157370+0,Stamford,1332,0,,16,1,0
3,246071024607201,246071024607201+1157374+0,Stamford,1334,0,,16,1,0
3,246071024607201,246071024607201+1157376+1,Grand Central,1335,1,,5,1,1
3,246071024607201,246071024607201+1157378+0,Stamford,1336,0,,16,1,0
3,246071024607201,246071024607201+1157380+0,Stamford,1338,0,,16,1,0
3,246071024607201,246071024607201+1157382+0,Grand Central,1339,1,,5,1,0
3,246071024607201,246071024607201+1157384+0,Stamford,1340,0,,16,1,0
3,246071024607201,246071024607201+1157386+0,Grand Central,1341,1,,5,1,0
3,246071024607201,246071024607201+1157388+0,Stamford,1342,0,,16,1,0
3,246071024607201,246071024607201+1157390+1,Stamford,1346,0,,16,1,1
3,246071024607201,246071024607201+1157392+0,Grand Central,1347,1,,5,1,0
3,246071024607201,246071024607201+1157394+0,Grand Central,1349,1,,5,1,0
3,246071024607201,246071024607201+1157396+0,Grand Central,1351,1,,5,1,0
3,246071024607201,246071024607201+1157398+1,Stamford,1352,0,,16,1,1
3,246071024607201,246071024607201+1157400+0,Grand Central,1353,1,,5,1,0
3,246071024607201,246071024607201+1157402+0,Grand Central,1355,1,,5,1,0
3,246071024607201,246071024607201+1157404+0,Grand Central,1357,1,,5,1,0
3,246071024607201,246071024607201+1157406+1,Stamford,1358,0,,16,1,1
3,246071024607201,246071024607201+1157408+0,Grand Central,1359,1,,5,1,0
3,246071024607201,246071024607201+1157410+1,Stamford,1360,0,,16,1,1
3,246071024607201,246071024607201+1157412+0,Grand Central,1361,1,,5,1,0
3,246071024607201,246071024607201+1157414+1,Old Greenwich,1362,0,,16,1,1
3,246071024607201,246071024607201+1157416+0,Grand Central,1363,1,,5,1,0
